"","uri","nome","idLegislaturaInicial","idLegislaturaFinal","nomeCivil","cpf","siglaSexo","urlRedeSocial","urlWebsite","dataNascimento","dataFalecimento","ufNascimento","municipioNascimento"
"1","https://dadosabertos.camara.leg.br/api/v2/deputados/62881","Danilo Forte",54,56,"FRANCISCO DANILO BASTOS FORTE",NA,"M",NA,NA,1958-09-01,NA,"CE","Fortaleza"
"2","https://dadosabertos.camara.leg.br/api/v2/deputados/66179","Norma Ayub",55,56,"NORMA AYUB ALVES",NA,"F",NA,NA,1959-09-07,NA,"ES","Vitória"
"3","https://dadosabertos.camara.leg.br/api/v2/deputados/66828","Fausto Pinato",55,56,"FAUSTO RUY PINATO",NA,"M",NA,NA,1977-06-01,NA,"SP","Fernandópolis"
"4","https://dadosabertos.camara.leg.br/api/v2/deputados/67138","Iracema Portella",54,56,"IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA",NA,"F",NA,NA,1966-04-23,NA,"PI","Teresina"
"5","https://dadosabertos.camara.leg.br/api/v2/deputados/68720","Fábio Henrique",56,56,"FABIO HENRIQUE SANTANA DE CARVALHO",NA,"M",NA,NA,1972-06-19,NA,"SE","Simão Dias"
"6","https://dadosabertos.camara.leg.br/api/v2/deputados/69871","Bacelar",55,56,"JOAO CARLOS BACELAR BATISTA",NA,"M",NA,NA,1957-07-09,NA,"BA","Esplanada"
"7","https://dadosabertos.camara.leg.br/api/v2/deputados/72442","Felipe Carreras",55,56,"FELIPE AUGUSTO LYRA CARRERAS",NA,"M",NA,NA,1975-04-16,NA,"PE","Recife"
"8","https://dadosabertos.camara.leg.br/api/v2/deputados/73433","Arlindo Chinaglia",50,56,"ARLINDO CHIGNALIA JUNIOR",NA,"M",NA,NA,1949-12-24,NA,"SP","Serra Azul"
"9","https://dadosabertos.camara.leg.br/api/v2/deputados/73441","Celso Russomanno",50,56,"CELSO UBIRAJARA RUSSOMANNO",NA,"M",NA,NA,1956-08-20,NA,"SP","São Paulo"
"10","https://dadosabertos.camara.leg.br/api/v2/deputados/73460","Gustavo Fruet",51,56,"GUSTAVO BONATO FRUET",NA,"M",NA,NA,1963-04-18,NA,"PR","Curitiba"
"11","https://dadosabertos.camara.leg.br/api/v2/deputados/73466","Rubens Bueno",49,56,"RUBENS BUENO",NA,"M",NA,NA,1948-05-23,NA,"PR","Sertanópolis"
"12","https://dadosabertos.camara.leg.br/api/v2/deputados/73482","Henrique Fontana",51,56,"HENRIQUE FONTANA JÚNIOR",NA,"M",NA,NA,1960-01-18,NA,"RS","Porto Alegre"
"13","https://dadosabertos.camara.leg.br/api/v2/deputados/73486","Pompeo de Mattos",51,56,"DARCI POMPEO DE MATTOS",NA,"M",NA,NA,1958-07-12,NA,"RS","Santo Augusto"
"14","https://dadosabertos.camara.leg.br/api/v2/deputados/73531","Ivan Valente",50,56,"IVAN VALENTE",NA,"M",NA,NA,1946-07-05,NA,"SP","São Paulo"
"15","https://dadosabertos.camara.leg.br/api/v2/deputados/73586","Júlio Delgado",51,56,"JÚLIO CÉSAR DELGADO",NA,"M",NA,NA,1966-11-18,NA,"MG","Juiz de Fora"
"16","https://dadosabertos.camara.leg.br/api/v2/deputados/73604","Rui Falcão",51,56,"RUI GOETHE DA COSTA FALCÃO",NA,"M",NA,NA,1943-11-26,NA,"MG","Pitangui"
"17","https://dadosabertos.camara.leg.br/api/v2/deputados/73674","ROBERTO BALESTRA",48,56,"ROBERTO EGÍDIO BALESTRA",NA,"M",NA,NA,1944-05-24,NA,"GO","Inhumas"
"18","https://dadosabertos.camara.leg.br/api/v2/deputados/73692","Osmar Terra",51,56,"OSMAR GASPARINI TERRA",NA,"M",NA,NA,1950-02-18,NA,"RS","Porto Alegre"
"19","https://dadosabertos.camara.leg.br/api/v2/deputados/73696","Angela Amin",49,56,"ANGELA REGINA HEINZEN AMIN HELOU",NA,"F",NA,NA,1953-12-20,NA,"SC","Indaial"
"20","https://dadosabertos.camara.leg.br/api/v2/deputados/73701","Benedita da Silva",48,56,"BENEDITA SOUZA DA SILVA SAMPAIO",NA,"F",NA,NA,1942-04-26,NA,"RJ","Rio de Janeiro"
"21","https://dadosabertos.camara.leg.br/api/v2/deputados/73772","Hermes Parcianello",50,56,"HERMES PARCIANELLO",NA,"M",NA,NA,1958-04-25,NA,"PR","Goioerê"
